Date,Open,High,Low,INR Gold Price per Troy,IND Inflation,Price
"Nov 18, 2013",62.825,62.92,62.38,80148.2,11.46789,62.42
"Nov 19, 2013",62.165,62.39,61.88,79469.7,11.46789,62.37
"Nov 20, 2013",62.257,62.69,62.245,78619.1,11.46789,62.58
"Nov 21, 2013",62.51,63.065,62.51,78000.7,11.46789,62.94
"Nov 22, 2013",63.042,63.095,62.733,78376.7,11.46789,62.733
"Nov 25, 2013",62.66,62.7,62.347,77644,11.46789,62.51
"Nov 26, 2013",62.398,62.658,62.198,77920.1,11.46789,62.51
"Nov 27, 2013",62.475,62.475,62.15,77496.3,11.46789,62.15
"Nov 28, 2013",62.4,62.568,62.27,77719.2,11.46789,62.282
"Nov 29, 2013",62.315,62.655,62.205,78300,11.46789,62.399
"Dec 2, 2013",62.36,62.36,61.921,76548.7,9.132421,62.325
"Dec 3, 2013",62.315,62.455,62.206,75904.7,9.132421,62.37
"Dec 4, 2013",62.38,62.543,61.912,76319.8,9.132421,62.06
"Dec 05, 2013",61.96,61.96,61.534,75526.1,9.132421,61.763
"Dec 06, 2013",61.645,61.727,61.273,75992.9,9.132421,61.435
"Dec 09, 2013",60.84,61.22,60.84,75583.8,9.132421,61.14
"Dec 10, 2013",60.99,61.305,60.949,77361.5,9.132421,61.05
"Dec 11, 2013",61.017,61.435,61.017,77258.8,9.132421,61.255
"Dec 12, 2013",61.61,61.94,61.431,75616.3,9.132421,61.82
"Dec 13, 2013",62.11,62.297,62.05,76587.3,9.132421,62.195
"Dec 16, 2013",62.06,62.22,61.625,76449.5,9.132421,61.74
"Dec 17, 2013",61.69,62.04,61.69,76331.5,9.132421,62.02
"Dec 18, 2013",61.91,62.203,61.79,76297.1,9.132421,62.1
"Dec 19, 2013",62.01,62.49,62.01,74313.5,9.132421,62.15
"Dec 20, 2013",62.415,62.465,61.93,74272.8,9.132421,62
"Dec 23, 2013",62.108,62.15,61.79,74308,9.132421,61.963
"Dec 24, 2013",61.79,61.975,61.714,74248.1,9.132421,61.755
"Dec 25, 2013",61.8,61.8,61.8,74248.1,9.132421,61.8
"Dec 26, 2013",61.78,62.17,61.77,74421.9,9.132421,62.17
