,Date,Open,High,Low,INR Gold Price per Troy,IND Inflation,Price,USA Inflation
1797,2016-10-17,66.718,66.9,66.715,83880.2,,66.789,1.635988
1798,2016-10-18,66.789,66.80199999999999,66.65,83916.9,,66.733,1.635988
1799,2016-10-19,66.74,66.775,66.61,84640.9,,66.645,1.635988
1800,2016-10-20,66.638,66.87,66.61,84971.6,,66.83,1.635988
1801,2016-10-21,66.852,67.005,66.76,84669.0,,66.926,1.635988
1802,2016-10-23,66.921,66.921,66.921,84669.0,,66.921,1.635988
1803,2016-10-24,66.921,66.935,66.766,84575.4,,66.845,1.635988
1804,2016-10-25,66.851,66.94,66.74,84856.2,,66.806,1.635988
1805,2016-10-26,66.812,66.9,66.758,84893.5,,66.863,1.635988
1806,2016-10-27,66.862,66.96300000000001,66.79,84655.1,,66.881,1.635988
1807,2016-10-28,66.89399999999999,66.934,66.691,85019.2,,66.778,1.635988
1808,2016-10-30,66.791,66.791,66.791,85019.2,,66.791,1.635988
1809,2016-10-31,66.779,66.8,66.65,84952.4,,66.686,1.635988
1810,2016-11-01,66.685,66.78,66.66,85987.9,,66.696,1.692537
1811,2016-11-02,66.695,66.87,66.63,87048.4,,66.762,1.692537
1812,2016-11-03,66.778,66.798,66.63,86835.2,,66.668,1.692537
1813,2016-11-04,66.665,66.805,66.65,86957.3,,66.796,1.692537
1814,2016-11-06,66.795,66.795,66.795,86957.3,,66.795,1.692537
1815,2016-11-07,66.795,66.805,66.676,85624.3,,66.745,1.692537
1816,2016-11-08,66.745,66.748,66.242,85436.6,,66.24600000000001,1.692537
1817,2016-11-09,66.26100000000001,66.945,66.242,85181.1,,66.515,1.692537
1818,2016-11-10,66.468,66.865,66.33,84401.5,,66.865,1.692537
1819,2016-11-11,67.301,67.565,66.985,83021.4,,67.565,1.692537
1820,2016-11-13,67.565,67.565,67.557,83021.4,,67.557,1.692537
1821,2016-11-14,67.52,67.786,67.46,81487.2,,67.785,1.692537
1822,2016-11-15,67.786,67.875,67.53,83072.2,,67.786,1.692537
1823,2016-11-16,67.785,68.12,67.618,83395.1,,67.999,1.692537
1824,2016-11-17,67.983,68.075,67.767,83173.6,,68.023,1.692537
1825,2016-11-18,68.03,68.25,67.94,82535.7,,68.191,1.692537
1826,2016-11-20,68.175,68.18,68.175,82535.7,,68.18,1.692537
1827,2016-11-21,68.185,68.293,68.02,82710.4,,68.22800000000001,1.692537
1828,2016-11-22,68.225,68.49,68.06,82657.3,,68.396,1.692537
1829,2016-11-23,68.395,68.881,68.36,81204.2,,68.78399999999999,1.692537
1830,2016-11-24,68.81,68.87,68.578,81538.4,,68.76100000000001,1.692537
1831,2016-11-25,68.755,68.76100000000001,68.3,81308.4,,68.51899999999999,1.692537
1832,2016-11-27,68.51899999999999,68.51899999999999,68.51899999999999,81308.4,,68.51899999999999,1.692537
1833,2016-11-28,68.51899999999999,68.81,68.355,81600.3,,68.579,1.692537
1834,2016-11-29,68.575,68.77600000000001,68.561,81495.5,,68.615,1.692537
1835,2016-11-30,68.615,68.71,68.368,80639.7,,68.598,1.692537
1836,2016-12-01,68.595,68.598,68.19,79437.1,,68.236,2.074622
1837,2016-12-02,68.235,68.393,68.01,80079.6,,68.031,2.074622
1838,2016-12-04,68.023,68.023,68.021,80079.6,,68.021,2.074622
1839,2016-12-05,68.021,68.275,68.015,79327.7,,68.025,2.074622
1840,2016-12-06,68.02600000000001,68.158,67.675,79636.7,,67.742,2.074622
1841,2016-12-07,67.738,67.98,67.425,79765.2,,67.438,2.074622
1842,2016-12-08,67.445,67.571,67.318,78858.5,,67.546,2.074622
1843,2016-12-09,67.41,67.64,67.368,78486.3,,67.47,2.074622
1844,2016-12-11,67.47,67.47,67.47,78486.3,,67.47,2.074622
1845,2016-12-12,67.471,67.649,67.37,77980.4,,67.431,2.074622
1846,2016-12-13,67.428,67.609,67.38,78235.7,,67.411,2.074622
1847,2016-12-14,67.425,67.605,67.4,78492.5,,67.475,2.074622
1848,2016-12-15,67.77,67.95,67.688,76466.6,,67.857,2.074622
1849,2016-12-16,67.855,67.88,67.738,76671.5,,67.855,2.074622
1850,2016-12-18,67.845,67.845,67.845,76671.5,,67.845,2.074622
1851,2016-12-19,67.85,67.9,67.708,77062.2,,67.844,2.074622
1852,2016-12-20,67.847,68.111,67.81,76580.2,,67.917,2.074622
1853,2016-12-21,67.917,67.97,67.77,76955.0,,67.837,2.074622
1854,2016-12-22,67.83800000000001,68.04,67.82,76954.4,,67.848,2.074622
1855,2016-12-23,67.845,67.95,67.74,76730.4,,67.837,2.074622
1856,2016-12-25,67.84100000000001,67.84100000000001,67.84100000000001,76730.4,,67.84100000000001,2.074622
1857,2016-12-26,67.84100000000001,67.863,67.705,76730.4,,67.76,2.074622
1858,2016-12-27,67.82,68.09,67.76,76991.2,,67.97800000000001,2.074622
1859,2016-12-28,67.977,68.26100000000001,67.955,77351.3,,68.233,2.074622
1860,2016-12-29,68.232,68.258,67.905,78047.2,,67.935,2.074622
1861,2016-12-30,67.935,68.0,67.85,77772.2,,67.955,2.074622
1862,2017-01-02,67.95100000000001,68.23100000000001,67.906,77772.2,,68.145,2.500042
1863,2017-01-03,68.14699999999999,68.438,68.045,78647.8,,68.26,2.500042
1864,2017-01-04,68.28,68.3,67.85,79294.2,,67.88600000000001,2.500042
1865,2017-01-05,67.895,68.013,67.73,79984.4,,67.743,2.500042
1866,2017-01-06,67.755,68.19800000000001,67.755,79928.3,,68.115,2.500042
1867,2017-01-09,68.116,68.305,68.07,80410.8,,68.1,2.500042
1868,2017-01-10,68.11,68.351,67.988,81058.5,,68.327,2.500042
1869,2017-01-11,68.37,68.546,68.223,80527.4,,68.312,2.500042
1870,2017-01-12,68.195,68.196,67.95,82033.8,,68.141,2.500042
1871,2017-01-13,68.15,68.29,68.097,81187.8,,68.18,2.500042
1872,2017-01-16,68.168,68.28,68.07,81954.4,,68.10300000000001,2.500042
1873,2017-01-17,68.10300000000001,68.158,67.855,82673.1,,67.862,2.500042
1874,2017-01-18,67.85300000000001,68.22,67.85300000000001,82671.6,,68.22,2.500042
1875,2017-01-19,68.222,68.319,68.069,81525.7,,68.1,2.500042
1876,2017-01-20,68.115,68.295,67.97800000000001,81835.5,,68.075,2.500042
1877,2017-01-23,68.081,68.233,68.0,82692.1,,68.051,2.500042
1878,2017-01-24,68.05,68.18,68.04,82938.6,,68.138,2.500042
1879,2017-01-25,68.137,68.2,67.97,81351.4,,67.988,2.500042
1880,2017-01-26,67.985,68.234,67.965,80990.6,,68.176,2.500042
1881,2017-01-27,68.191,68.255,68.015,80648.6,,68.105,2.500042
1882,2017-01-30,68.10600000000001,68.12,67.755,81080.6,,67.829,2.500042
1883,2017-01-31,67.844,67.918,67.455,82282.4,,67.515,2.500042
1884,2017-02-01,67.669,67.704,67.415,81291.5,,67.415,2.7379580000000003
1885,2017-02-02,67.385,67.51,67.21,82371.6,,67.21,2.7379580000000003
1886,2017-02-03,67.209,67.429,67.184,81789.0,,67.184,2.7379580000000003
1887,2017-02-06,67.225,67.255,67.145,82442.2,,67.195,2.7379580000000003
1888,2017-02-07,67.2,67.465,67.2,82938.6,,67.35,2.7379580000000003
1889,2017-02-08,67.385,67.385,67.05,83515.7,,67.05,2.7379580000000003
1890,2017-02-09,67.065,67.08800000000001,66.725,82766.6,,66.765,2.7379580000000003
1891,2017-02-10,66.851,67.021,66.801,82090.3,,66.854,2.7379580000000003
1892,2017-02-13,66.952,67.087,66.947,81884.6,,66.975,2.7379580000000003
1893,2017-02-14,66.925,67.0,66.805,82392.6,,66.835,2.7379580000000003
1894,2017-02-15,66.945,67.005,66.875,81906.2,,66.875,2.7379580000000003
1895,2017-02-16,66.96,67.135,66.915,83172.7,,67.08,2.7379580000000003
1896,2017-02-17,67.14,67.167,67.0,83226.2,,67.08,2.7379580000000003
1897,2017-02-20,67.07,67.07,66.905,82793.9,,66.905,2.7379580000000003
1898,2017-02-21,66.99,67.025,66.947,82519.6,,66.985,2.7379580000000003
1899,2017-02-22,67.007,67.067,66.92699999999999,82827.7,,66.95,2.7379580000000003
1900,2017-02-23,66.905,66.965,66.69,83397.1,,66.69,2.7379580000000003
1901,2017-02-24,66.656,66.705,66.615,83781.4,,66.645,2.7379580000000003
1902,2017-02-27,66.72,66.78,66.65,83933.8,,66.7,2.7379580000000003
1903,2017-02-28,66.765,66.835,66.645,83772.1,,66.725,2.7379580000000003
1904,2017-03-01,66.715,66.915,66.715,82889.7,,66.865,2.380612
1905,2017-03-02,66.782,66.808,66.69,82575.1,,66.785,2.380612
1906,2017-03-03,66.9,66.91,66.78,81945.5,,66.78,2.380612
1907,2017-03-06,66.8,66.8,66.66,82129.0,,66.675,2.380612
1908,2017-03-07,66.68,66.7,66.595,81120.1,,66.625,2.380612
1909,2017-03-08,66.633,66.77,66.63,80665.7,,66.765,2.380612
1910,2017-03-09,66.837,66.875,66.665,80537.2,,66.69,2.380612
1911,2017-03-10,66.745,66.745,66.555,80061.9,,66.555,2.380612
1912,2017-03-13,66.15,66.19,66.15,80165.1,,66.18,2.380612
1913,2017-03-14,66.225,66.265,65.75,79410.2,,65.775,2.380612
1914,2017-03-15,65.77,65.79,65.42,78755.1,,65.63,2.380612
1915,2017-03-16,65.405,65.535,65.255,80479.4,,65.385,2.380612
1916,2017-03-17,65.485,65.675,65.405,80520.3,,65.475,2.380612
1917,2017-03-20,65.425,65.495,65.315,80537.3,,65.345,2.380612
1918,2017-03-21,65.42399999999999,65.475,65.234,81002.0,,65.345,2.380612
1919,2017-03-22,65.585,65.59,65.395,81748.7,,65.455,2.380612
1920,2017-03-23,65.425,65.58800000000001,65.4,81767.4,,65.455,2.380612
1921,2017-03-24,65.505,65.545,65.385,81600.5,,65.425,2.380612
1922,2017-03-27,65.295,65.295,64.98,81860.2,,64.995,2.380612
1923,2017-03-28,65.11,65.135,65.04,81840.7,,65.045,2.380612
1924,2017-03-29,65.125,65.125,64.865,81218.3,,64.875,2.380612
1925,2017-03-30,64.85,64.99,64.85,81078.3,,64.86,2.380612
1926,2017-03-31,64.93,64.99,64.8,80834.3,,64.86,2.380612
1927,2017-04-03,64.825,65.11,64.785,81121.1,,64.985,2.1996900000000004
1928,2017-04-04,65.15,65.15,65.07,81797.5,,65.08,2.1996900000000004
1929,2017-04-05,65.075,65.175,64.875,80871.1,,64.875,2.1996900000000004
1930,2017-04-06,65.044,65.059,64.50399999999999,80961.6,,64.60600000000001,2.1996900000000004
1931,2017-04-07,64.59899999999999,64.744,64.154,81325.1,,64.27,2.1996900000000004
1932,2017-04-10,64.325,64.61,64.325,80684.5,,64.605,2.1996900000000004
1933,2017-04-11,64.575,64.695,64.41,80780.7,,64.555,2.1996900000000004
1934,2017-04-12,64.625,64.73,64.535,82440.8,,64.69,2.1996900000000004
1935,2017-04-13,64.455,64.493,64.27199999999999,82718.5,,64.445,2.1996900000000004
1936,2017-04-14,64.443,64.48,64.443,82718.5,,64.48,2.1996900000000004
1937,2017-04-17,64.44,64.55,64.305,82744.2,,64.48,2.1996900000000004
1938,2017-04-18,64.515,64.655,64.485,82594.6,,64.605,2.1996900000000004
1939,2017-04-19,64.575,64.665,64.525,82594.6,,64.665,2.1996900000000004
1940,2017-04-20,64.64,64.727,64.536,82826.9,,64.62,2.1996900000000004
1941,2017-04-21,64.66,64.69,64.565,82791.5,,64.65,2.1996900000000004
1942,2017-04-24,64.53699999999999,64.542,64.41,81804.9,,64.49,2.1996900000000004
1943,2017-04-25,64.425,64.425,64.215,81494.2,,64.33,2.1996900000000004
1944,2017-04-26,64.32,64.33,63.94,80890.9,,64.13,2.1996900000000004
1945,2017-04-27,64.065,64.175,63.985,80994.4,,64.115,2.1996900000000004
1946,2017-04-28,64.13,64.4,64.13,81470.7,,64.29,2.1996900000000004
1947,2017-05-01,64.285,64.285,64.255,81470.7,,64.255,1.874878
1948,2017-05-02,64.14699999999999,64.25,64.125,80625.0,,64.165,1.874878
1949,2017-05-03,64.14,64.2,64.115,80195.8,,64.165,1.874878
1950,2017-05-04,64.195,64.25,64.18,78835.8,,64.215,1.874878
1951,2017-05-05,64.235,64.395,64.235,79031.1,,64.315,1.874878
1952,2017-05-08,64.26,64.385,64.21,79066.9,,64.36,1.874878
1953,2017-05-09,64.44,64.705,64.44,78923.3,,64.68,1.874878
1954,2017-05-10,64.694,64.694,64.555,79088.2,,64.615,1.874878
1955,2017-05-11,64.595,64.595,64.35,78752.5,,64.405,1.874878
1956,2017-05-12,64.305,64.377,64.243,79218.6,,64.243,1.874878
1957,2017-05-15,64.13,64.18,64.025,79082.3,,64.065,1.874878
1958,2017-05-16,64.075,64.165,64.04,79096.8,,64.045,1.874878
1959,2017-05-17,64.0,64.175,63.99,80655.9,,64.13,1.874878
1960,2017-05-18,64.4,64.92,64.327,81442.0,,64.88,1.874878
1961,2017-05-19,64.725,65.025,64.565,80954.3,,64.565,1.874878
1962,2017-05-22,64.53,64.655,64.46,81249.3,,64.51,1.874878
1963,2017-05-23,64.685,64.92,64.655,81688.7,,64.895,1.874878
1964,2017-05-24,64.93,64.97,64.715,81129.5,,64.77,1.874878
1965,2017-05-25,64.578,64.65,64.48,81224.1,,64.555,1.874878
1966,2017-05-26,64.565,64.63,64.425,81507.2,,64.51,1.874878
1967,2017-05-29,64.485,64.595,64.455,81583.1,,64.54,1.874878
1968,2017-05-30,64.645,64.707,64.605,81617.8,,64.635,1.874878
1969,2017-05-31,64.605,64.605,64.46,81695.2,,64.51,1.874878
1970,2017-06-01,64.525,64.598,64.433,81636.6,,64.47800000000001,1.6334879999999998
1971,2017-06-02,64.345,64.52,64.345,82186.5,,64.415,1.6334879999999998
1972,2017-06-05,64.32,64.4,64.29,82375.7,,64.35,1.6334879999999998
1973,2017-06-06,64.34,64.485,64.315,83343.4,,64.43,1.6334879999999998
1974,2017-06-07,64.515,64.535,64.315,83029.0,,64.435,1.6334879999999998
1975,2017-06-08,64.41,64.43,64.208,81879.3,,64.25,1.6334879999999998
1976,2017-06-09,64.275,64.34,64.167,81391.7,,64.245,1.6334879999999998
1977,2017-06-12,64.35,64.49,64.32,81621.0,,64.48,1.6334879999999998
1978,2017-06-13,64.455,64.515,64.345,81241.3,,64.345,1.6334879999999998
1979,2017-06-14,64.335,64.367,64.235,81992.0,,64.235,1.6334879999999998
1980,2017-06-15,64.295,64.62,64.26,80840.1,,64.565,1.6334879999999998
1981,2017-06-16,64.69,64.75,64.405,80876.0,,64.465,1.6334879999999998
1982,2017-06-19,64.445,64.505,64.34,80387.1,,64.495,1.6334879999999998
1983,2017-06-20,64.485,64.54,64.41199999999999,80080.0,,64.54,1.6334879999999998
