,Date,Open,INR Gold Price per Troy,IND Inflation,USA Inflation,Foreign direct investment net inflows (% of GDP) - IND,Foreign direct investment net inflows (% of GDP),Today Price
207,2010-10-19,44.215,59391.3,9.69697,1.172188,1.653785022,1.764450924,44.355
208,2010-10-20,44.335,59377.9,9.69697,1.172188,1.653785022,1.764450924,44.255
209,2010-10-21,44.195,59517,9.69697,1.172188,1.653785022,1.764450924,44.31
210,2010-10-22,44.265,58970.3,9.69697,1.172188,1.653785022,1.764450924,44.515
211,2010-10-25,44.445,59324.8,9.69697,1.172188,1.653785022,1.764450924,44.355
212,2010-10-26,44.305,59083,9.69697,1.172188,1.653785022,1.764450924,44.44
213,2010-10-27,44.395,58874,9.69697,1.172188,1.653785022,1.764450924,44.45
214,2010-10-28,44.42,59380.8,9.69697,1.172188,1.653785022,1.764450924,44.39
215,2010-10-29,44.325,59829.4,9.69697,1.172188,1.653785022,1.764450924,44.325
216,2010-11-01,44.275,60234.6,8.333333,1.143161,1.653785022,1.764450924,44.47
217,2010-11-02,44.355,59943.9,8.333333,1.143161,1.653785022,1.764450924,44.37
218,2010-11-03,44.315,59679.7,8.333333,1.143161,1.653785022,1.764450924,44.355
219,2010-11-04,44.22,61060.9,8.333333,1.143161,1.653785022,1.764450924,44
220,2010-11-05,43.975,61702,8.333333,1.143161,1.653785022,1.764450924,43.925
221,2010-11-08,43.89,61684.1,8.333333,1.143161,1.653785022,1.764450924,44.35
222,2010-11-09,44.39,62971.6,8.333333,1.143161,1.653785022,1.764450924,44.35
223,2010-11-10,44.33,61606.1,8.333333,1.143161,1.653785022,1.764450924,44.3
224,2010-11-11,44.325,61974.5,8.333333,1.143161,1.653785022,1.764450924,44.525
225,2010-11-12,44.505,62125,8.333333,1.143161,1.653785022,1.764450924,44.785
226,2010-11-15,44.72,61897.3,8.333333,1.143161,1.653785022,1.764450924,45.21
227,2010-11-16,45.2,61129.9,8.333333,1.143161,1.653785022,1.764450924,45.32
228,2010-11-17,45.335,60608.8,8.333333,1.143161,1.653785022,1.764450924,45.115
229,2010-11-18,45.02,61065,8.333333,1.143161,1.653785022,1.764450924,45.26
230,2010-11-19,45.265,60808.5,8.333333,1.143161,1.653785022,1.764450924,45.275
231,2010-11-22,45.215,61598.7,8.333333,1.143161,1.653785022,1.764450924,45.465
232,2010-11-23,45.43,62776.1,8.333333,1.143161,1.653785022,1.764450924,45.565
233,2010-11-24,45.575,62723.3,8.333333,1.143161,1.653785022,1.764450924,45.715
234,2010-11-25,45.705,62510.3,8.333333,1.143161,1.653785022,1.764450924,45.565
235,2010-11-26,45.54,62120,8.333333,1.143161,1.653785022,1.764450924,45.825
236,2010-11-29,45.775,62333.8,8.333333,1.143161,1.653785022,1.764450924,45.825
237,2010-11-30,45.95,63481.9,8.333333,1.143161,1.653785022,1.764450924,45.8
238,2010-12-01,45.905,62867.1,9.467456,1.495723,1.653785022,1.764450924,45.295
239,2010-12-02,45.39,62893.9,9.467456,1.495723,1.653785022,1.764450924,45.15
240,2010-12-03,45.125,63311.9,9.467456,1.495723,1.653785022,1.764450924,44.915
241,2010-12-06,44.835,63636.7,9.467456,1.495723,1.653785022,1.764450924,44.825
242,2010-12-07,44.78,63395.9,9.467456,1.495723,1.653785022,1.764450924,44.83
243,2010-12-08,44.83,62458.3,9.467456,1.495723,1.653785022,1.764450924,45.02
244,2010-12-09,45.077,62905.4,9.467456,1.495723,1.653785022,1.764450924,45.15
245,2010-12-10,45.23,61961.9,9.467456,1.495723,1.653785022,1.764450924,44.98
246,2010-12-13,44.933,63136.9,9.467456,1.495723,1.653785022,1.764450924,45.192
247,2010-12-14,45.145,62682.8,9.467456,1.495723,1.653785022,1.764450924,44.93
248,2010-12-15,44.953,63049.2,9.467456,1.495723,1.653785022,1.764450924,45.358
249,2010-12-16,45.41,61805.2,9.467456,1.495723,1.653785022,1.764450924,45.455
250,2010-12-17,45.465,62054.6,9.467456,1.495723,1.653785022,1.764450924,45.175
251,2010-12-20,45.155,62755.5,9.467456,1.495723,1.653785022,1.764450924,45.355
252,2010-12-21,45.49,62553.1,9.467456,1.495723,1.653785022,1.764450924,45.21
253,2010-12-22,45.245,62539.8,9.467456,1.495723,1.653785022,1.764450924,45.03
254,2010-12-23,45.1,62034.1,9.467456,1.495723,1.653785022,1.764450924,45.075
255,2010-12-24,45.18,61992.9,9.467456,1.495723,1.653785022,1.764450924,45.03
256,2010-12-27,44.99,62144,9.467456,1.495723,1.653785022,1.764450924,45.13
257,2010-12-28,45.265,61938,9.467456,1.495723,1.653785022,1.764450924,44.975
258,2010-12-29,45.1,63626.1,9.467456,1.495723,1.653785022,1.764450924,44.95
259,2010-12-30,45.06,63184.2,9.467456,1.495723,1.653785022,1.764450924,44.83
260,2010-12-31,44.963,62846.9,9.467456,1.495723,1.653785022,1.764450924,44.713
261,2011-01-03,44.635,62861,9.302325,1.631847,1.653785022,1.698016861,44.625
262,2011-01-04,44.61,62461.7,9.302325,1.631847,2.002065552,1.698016861,44.92
263,2011-01-05,45.005,62004.6,9.302325,1.631847,2.002065552,1.698016861,45.325
264,2011-01-06,45.347,61917.8,9.302325,1.631847,2.002065552,1.698016861,45.355
265,2011-01-07,45.255,62041.3,9.302325,1.631847,2.002065552,1.698016861,45.355
266,2011-01-10,45.29,62187,9.302325,1.631847,2.002065552,1.698016861,45.35
267,2011-01-11,45.47,62077.3,9.302325,1.631847,2.002065552,1.698016861,45.155
268,2011-01-12,45.1,62229.9,9.302325,1.631847,2.002065552,1.698016861,45.02
269,2011-01-13,45.145,62499.1,9.302325,1.631847,2.002065552,1.698016861,45.135
270,2011-01-14,45.095,62041.3,9.302325,1.631847,2.002065552,1.698016861,45.365
271,2011-01-17,45.305,61930,9.302325,1.631847,2.002065552,1.698016861,45.465
272,2011-01-18,45.53,62182.2,9.302325,1.631847,2.002065552,1.698016861,45.445
273,2011-01-19,45.41,62364.2,9.302325,1.631847,2.002065552,1.698016861,45.33
274,2011-01-20,45.465,61267.3,9.302325,1.631847,2.002065552,1.698016861,45.685
275,2011-01-21,45.56,61290.5,9.302325,1.631847,2.002065552,1.698016861,45.63
276,2011-01-24,45.56,61368.4,9.302325,1.631847,2.002065552,1.698016861,45.47
277,2011-01-25,45.47,60506.8,9.302325,1.631847,2.002065552,1.698016861,45.71
278,2011-01-26,45.735,60689.6,9.302325,1.631847,2.002065552,1.698016861,45.475
279,2011-01-27,45.51,60873.2,9.302325,1.631847,2.002065552,1.698016861,45.51
280,2011-01-28,45.59,60364,9.302325,1.631847,2.002065552,1.698016861,45.92
281,2011-01-31,45.825,60922.6,9.302325,1.631847,2.002065552,1.698016861,45.825
282,2011-02-01,45.92,60936.1,8.823529,2.107585,2.002065552,1.698016861,45.45
283,2011-02-02,45.43,61000.6,8.823529,2.107585,2.002065552,1.698016861,45.57
284,2011-02-03,45.635,60576.7,8.823529,2.107585,2.002065552,1.698016861,45.565
285,2011-02-04,45.565,61781.2,8.823529,2.107585,2.002065552,1.698016861,45.575
286,2011-02-07,45.515,61284.3,8.823529,2.107585,2.002065552,1.698016861,45.325
287,2011-02-08,45.315,61759.7,8.823529,2.107585,2.002065552,1.698016861,45.235
288,2011-02-09,45.31,62080.2,8.823529,2.107585,2.002065552,1.698016861,45.52
289,2011-02-10,45.49,61884.1,8.823529,2.107585,2.002065552,1.698016861,45.655
290,2011-02-11,45.74,62314.3,8.823529,2.107585,2.002065552,1.698016861,45.615
291,2011-02-14,45.49,62107.5,8.823529,2.107585,2.002065552,1.698016861,45.43
292,2011-02-15,45.415,62473.9,8.823529,2.107585,2.002065552,1.698016861,45.505
293,2011-02-16,45.535,62405.6,8.823529,2.107585,2.002065552,1.698016861,45.405
294,2011-02-17,45.535,62523.9,8.823529,2.107585,2.002065552,1.698016861,45.265
295,2011-02-18,45.35,62541.1,8.823529,2.107585,2.002065552,1.698016861,45.115
296,2011-02-21,45.075,63121,8.823529,2.107585,2.002065552,1.698016861,44.945
297,2011-02-22,45,63416.3,8.823529,2.107585,2.002065552,1.698016861,45.175
298,2011-02-23,45.28,63599.4,8.823529,2.107585,2.002065552,1.698016861,45.08
299,2011-02-24,45.145,64188,8.823529,2.107585,2.002065552,1.698016861,45.43
300,2011-02-25,45.495,63568.3,8.823529,2.107585,2.002065552,1.698016861,45.275
301,2011-02-28,45.225,63868.9,8.823529,2.107585,2.002065552,1.698016861,45.265
302,2011-03-01,45.285,63855.6,8.823529,2.681603,2.002065552,1.698016861,44.855
