,Date,Open,High,Low,INR Gold Price per Troy,IND Inflation,USA Inflation,"Foreign direct investment, net inflows (% of GDP) - IND","Foreign direct investment, net inflows (% of GDP)",Price
685,2012-08-17,55.625,55.785,55.61,89901.2,10.30928,1.692379,1.312934337,1.549619613,55.735
686,2012-08-20,55.655,55.675,55.505,89915.1,10.30928,1.692379,1.312934337,1.549619613,55.505
687,2012-08-21,55.67,55.67,55.31,91025,10.30928,1.692379,1.312934337,1.549619613,55.31
688,2012-08-22,55.365,55.555,55.315,91098.2,10.30928,1.692379,1.312934337,1.549619613,55.5
689,2012-08-23,55.49,55.49,55.12,92055,10.30928,1.692379,1.312934337,1.549619613,55.265
690,2012-08-24,55.265,55.555,55.183,92476.8,10.30928,1.692379,1.312934337,1.549619613,55.505
691,2012-08-27,55.42,55.725,55.345,92810.2,10.30928,1.692379,1.312934337,1.549619613,55.695
692,2012-08-28,55.695,55.895,55.623,92953.5,10.30928,1.692379,1.312934337,1.549619613,55.665
693,2012-08-29,55.67,55.781,55.574,92337.5,10.30928,1.692379,1.312934337,1.549619613,55.705
694,2012-08-30,55.63,55.755,55.575,92348.7,10.30928,1.692379,1.312934337,1.549619613,55.635
695,2012-08-31,55.635,55.78,55.52,91697.8,10.30928,1.692379,1.312934337,1.549619613,55.525
696,2012-09-03,55.528,55.595,55.405,93937.4,9.137055,1.991282,1.312934337,1.549619613,55.535
697,2012-09-04,55.535,55.705,55.365,94429.6,9.137055,1.991282,1.312934337,1.549619613,55.615
698,2012-09-05,55.655,55.995,55.655,94403.4,9.137055,1.991282,1.312934337,1.549619613,55.91
699,2012-09-06,55.91,56.03,55.625,94805.2,9.137055,1.991282,1.312934337,1.549619613,55.665
700,2012-09-07,55.665,55.665,55.275,95765.8,9.137055,1.991282,1.312934337,1.549619613,55.365
701,2012-09-10,55.305,55.48,55.255,96065.4,9.137055,1.991282,1.312934337,1.549619613,55.445
702,2012-09-11,55.445,55.545,55.255,96172.5,9.137055,1.991282,1.312934337,1.549619613,55.255
703,2012-09-12,55.345,55.385,55.08,95891.1,9.137055,1.991282,1.312934337,1.549619613,55.215
704,2012-09-13,55.215,55.485,55.181,96039.4,9.137055,1.991282,1.312934337,1.549619613,55.345
705,2012-09-14,55.425,55.425,54.295,96613.8,9.137055,1.991282,1.312934337,1.549619613,54.305
706,2012-09-17,53.765,54.165,53.655,95270.2,9.137055,1.991282,1.312934337,1.549619613,53.885
707,2012-09-18,54.015,54.38,53.905,95650.3,9.137055,1.991282,1.312934337,1.549619613,53.905
708,2012-09-19,54.025,54.025,54.025,95501.7,9.137055,1.991282,1.312934337,1.549619613,54.025
709,2012-09-20,54.295,54.42,54.205,95495.3,9.137055,1.991282,1.312934337,1.549619613,54.265
710,2012-09-21,54.295,54.295,53.33,95497.5,9.137055,1.991282,1.312934337,1.549619613,53.365
711,2012-09-24,53.405,53.55,53.06,94311.4,9.137055,1.991282,1.312934337,1.549619613,53.44
712,2012-09-25,53.465,53.625,53.25,94695.5,9.137055,1.991282,1.312934337,1.549619613,53.365
713,2012-09-26,53.365,53.635,53.365,93387.7,9.137055,1.991282,1.312934337,1.549619613,53.585
714,2012-09-27,53.6,53.6,52.9,93835.7,9.137055,1.991282,1.312934337,1.549619613,52.93
715,2012-09-28,53.015,53.015,52.505,93675.1,9.137055,1.991282,1.312934337,1.549619613,52.855
716,2012-10-01,52.83,53.01,52.31,94040.9,9.59596,2.162344,1.312934337,1.549619613,52.38
